,Date,User,Tweet,Likes,Retweets,Replies
10,2022-05-12 16:55:14,TheBridge_Tech,"Descubre las posibilidades y misterios que oculta el #metaverso con @HavasGroupES 😎 Hablaremos de tipos de metaverso, estrategias de onboarding, casos reales... ¡Promete ser muy interesante! Próximo 19 de mayo a las 17.30h.
Consigue tus entradas 🎟https://t.co/KxeTH2ICpc",0,0,0
11,2022-05-12 13:08:59,TheBridge_Tech,"📻Los #bootcamps son para ""cualquier persona que quiera un empleo tecnológico de calidad"", como bien explican Inés García Clariana y @AmparoGalbis1 en ""La Tarde con Marina"" en @999plazaradio. Escucha la entrevista completa de nuestro equipo de #Valencia🔊https://t.co/7HNlE0vpmO",0,0,0
12,2022-05-10 20:02:12,TheBridge_Tech,"👾 El caso #Pegasus, un ejemplo más de #ciberespionaje que pone en relevancia la necesidad de expertos en #ciberseguridad

Te contamos qués es 🕵️‍♀️ y para qué fue creado 👇 https://t.co/kyzgkQDZ8N",0,0,0
13,2022-05-10 15:46:04,TheBridge_Tech,¡”Let’s talk about education”! Os invitamos a la primera sesión del nuevo ciclo de conferencias sobre #educación @ikerarceseco y @victorianoi debatirán sobre los datos en el sector y descubriremos @graphext plataforma de #datascience no code. Entradas🎟 https://t.co/ksTzmzqqLQ,1,0,1
14,2022-05-09 08:03:51,TheBridge_Tech,"¡Vamos con los talleres de mayo! Este mes tenemos un montón de #freeevents 👩‍💻Metaverso, OSINT, Sistemas de diseño UX/UI, un coloquio sobre educación ... ¡No esperes más y saca ya tu entrada! 🎟https://t.co/Nlwg6cTDOa https://t.co/zWjT1I2AER",0,0,0
15,2022-05-05 15:06:00,TheBridge_Tech,👏🚀Lanzamos una nueva edición de las #becas Digital Talent Pipeline para cursar un #bootcamp en junio y septiembre ¿Quieres solicitar la tuya? Plazo hasta el 30 de mayo ¡Date prisa #digitaltalent! ➡https://t.co/PXFR0q85F7 https://t.co/qwiGSm4WOI,0,1,0
16,2022-05-05 07:22:39,arey,La 2da presentación del #LibroIC en #Madrid será el J26Mayo(18:30) en @TheBridge_Tech acompañados por  Tíscar Lara (@tiscar) y Mario López de Ávila (@nodosenlared) sobre impacto de la #IC en el diseño y gestión de las organizaciones. +Info/inscripciones: https://t.co/OVzv1SdR7x,4,2,0
17,2022-05-04 15:15:00,TheBridge_Tech,"🤩¿Quieres conocer el talento digital que llevas dentro? ¡Ven a nuestro Open Day y descúbrelo! 

📅Viernes 20 de mayo 11.15h en Paseo de Recoletos 15, Madrid.

🎟Saca tus entradas👇👇https://t.co/qq3WqsydKv",0,0,0
18,2022-04-28 16:17:33,spaingeneration,"¡Gracias a todos por el día de hoy! 😍😍

De la mano de: @AccentureSpain , Bonus Studios, @Making_Science_ @SomosMiogroup , Silicon HR , y @TheBridge_Tech hemos podido acercar el futuro talento digital hacia el mundo laboral 🔝 🔝 

#talent #empresas #marketing #BeGeneration https://t.co/wLbzhtXb94",1,0,0
19,2022-04-28 15:55:26,JM_Torralba_,En breve empezamos la charla sobre RV y Psicología! Todo ready! @TheBridge_Tech https://t.co/lW3fvKhcGZ,15,1,0
20,2022-04-27 21:44:03,JM_Torralba_,Mañana estaré junto a @LucaMefisto en una mesa redonda en @TheBridge_Tech donde hablaremos de la relación que hay entre #psicologia y la #realidadvirtual. Pinta interesante!!… https://t.co/FXt3Zdj7Uh,6,1,0
21,2022-04-27 16:53:38,bertinha84,"Acabo de escuchar la charla de @kairos_ds en @TheBridge_Tech. Ahora que todo lo que tengo que aprender me abruma. Escuchar que si llego a la meta, me esperará una empresa así (ojalá), un equipo en el que se respire ese buen rollo y amor por el trabajo, me da fuerza para pelear",8,0,0
22,2022-04-27 15:32:18,gabinha,@pmdr_1189 @TheBridge_Tech Lamentablemente,1,0,0
23,2022-04-27 08:03:22,IrnMM,"Esto es hoy! 
Nos vemos en @TheBridge_Tech con @quierodata para hablar de crecimiento dentro de @kairos_ds 🧡 https://t.co/miTZChXSwJ",5,1,0
24,2022-04-27 06:55:39,TheBridge_Tech,@burn_es Prueba de ello 📸🔥 https://t.co/7SWL2ionj3,2,1,0
25,2022-04-26 14:58:20,kairos_ds,"Nuestra Head de Data &amp; IA @quierodata, estará mañana en las oficinas de @TheBridge_Tech, para hablar de las oportunidades de crecimiento profesional dentro de Kairós DS.🤩 

@IrnMM la acompañará resolviendo cualquier duda sobre Kairós DS… 

¿Te veremos allí?🧡

#OrgulloKairós https://t.co/0hUC9XkPxF",7,5,0
26,2022-04-26 14:41:09,BerrocalRuben,"Los compañeros de @TheBridge_Tech nos hablan de #softskills en IT, en #devspega junto a @flyncercom 
El valor diferencial de todo profesional. https://t.co/0On5h6N9hR",0,0,0
27,2022-04-26 11:12:18,COGITIValencia,"#ESTAPASANDO Talento y competencias digitales #SP22
Inés Garcia @TheBridge_Tech
Enric Montesa @COEV_COM
Leticia Gonzalvez Directora marketing @sesamehr_
La competencia digital demandada en las empresas no son las básicas que todos tenemos. https://t.co/orPM5iTbPE",3,0,1
28,2022-04-26 11:06:11,burn_es,Tenemos que decir que el BURN Mondays de ayer con @TheBridge_Tech fue muy top! 🔝​❤️‍🔥,3,1,1
29,2022-04-25 15:05:53,TheBridge_Tech,"Este jueves Job Market Place en @TheBridge_Tech con @spaingeneration La feria de empleo con el mejor talento de #marketingdigital @AccentureSpain, @Siliconhr1, ... participarán en busca del mejor talento. Si eres empresa y quieres participar 👉https://t.co/0n4iufzfmi https://t.co/A51YStbfjF",0,0,0
30,2022-04-25 09:58:29,TheBridge_Tech,"""Necesitaba formación técnica para potenciar mi empleabilidad"", cuenta nuestra alumni Clara Bayón a @el_pais 🗞Tras hacer el #bootcamp en #ciberseguridad ahora trabaja en @DeloitteDE Check it out! 👉https://t.co/XGIPZfmtx6 https://t.co/7jrVa74qTG",0,0,0
